id,short_id,image_path_html,polygon,label,score,countertop_polygon,above_or_below_countertop,height_width_ratio,container_height,container_width,neighbors,anchor_neighbors,distance_from_anchors,angle_from_anchors,similar_neighbors,updated_label,most_close_to_anchors,description
52,11,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[983, 12], [890, 75], [890, 118], [984, 67]]",cabinet door,0.309,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",above,1.128,106.0,94.0,"{""above"": null, ""below"": null, ""left"": 54, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.8157, 'stove': 0.7277, 'oven': 0.7078, 'electronic kettle': 0.7627, 'toaster': 0.7444, 'sink': 0.464, 'dish rack': 0.7763, 'microwave': 0.5097}","{'coffee machine': 158.16, 'stove': 150.63, 'oven': 151.16, 'electronic kettle': 140.29, 'toaster': 140.43, 'sink': 136.33, 'dish rack': 155.59, 'microwave': 129.14}",[],cabinet door,{},Container 11: cabinet door above the countertop
53,12,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[695, 428], [693, 530], [705, 545], [708, 444]]",cabinet door,0.34,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,7.8,117.0,15.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": 49, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": 44}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.5622, 'stove': 0.4375, 'oven': 0.4233, 'electronic kettle': 0.414, 'toaster': 0.3975, 'sink': 0.1416, 'dish rack': 0.5109, 'microwave': 0.1335}","{'coffee machine': 184.58, 'stove': 178.88, 'oven': 180.95, 'electronic kettle': 160.39, 'toaster': 161.55, 'sink': 191.39, 'dish rack': 183.08, 'microwave': 159.43}",[],cabinet door,{},Container 12: cabinet door below the countertop
54,13,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[884, 79], [823, 120], [824, 156], [885, 122]]",cabinet door,0.305,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",above,1.242,77.0,62.0,"{""above"": null, ""below"": null, ""left"": 58, ""right"": null, ""top_left"": null, ""top_right"": 52, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.7361, 'stove': 0.6468, 'oven': 0.6269, 'electronic kettle': 0.6826, 'toaster': 0.6643, 'sink': 0.3851, 'dish rack': 0.6961, 'microwave': 0.434}","{'coffee machine': 159.24, 'stove': 150.93, 'oven': 151.54, 'electronic kettle': 139.35, 'toaster': 139.48, 'sink': 133.84, 'dish rack': 156.44, 'microwave': 125.65}",[],cabinet door,{},Container 13: cabinet door above the countertop
55,14,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[955, 553]]",drawer,0.384,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,0.0,0.0,0.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.7787, 'stove': 0.651, 'oven': 0.6382, 'electronic kettle': 0.6077, 'toaster': 0.5932, 'sink': 0.3605, 'dish rack': 0.7268, 'microwave': 0.337}","{'coffee machine': 187.38, 'stove': 184.1, 'oven': 185.59, 'electronic kettle': 172.07, 'toaster': 173.15, 'sink': 193.33, 'dish rack': 186.53, 'microwave': 181.39}",[],drawer,{},Container 14: drawer below the countertop
56,15,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[873, 514], [878, 565], [999, 639], [994, 571]]",cabinet door,0.313,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,0.992,125.0,126.0,"{""above"": null, ""below"": 64, ""left"": 42, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.7653, 'stove': 0.6366, 'oven': 0.6243, 'electronic kettle': 0.59, 'toaster': 0.5758, 'sink': 0.3493, 'dish rack': 0.7132, 'microwave': 0.322}","{'coffee machine': 188.72, 'stove': 185.64, 'oven': 187.19, 'electronic kettle': 173.4, 'toaster': 174.55, 'sink': 196.48, 'dish rack': 187.95, 'microwave': 184.31}",[],cabinet door,{},Container 15: cabinet door below the countertop
57,16,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[518, 296], [426, 295], [430, 373], [513, 375]]",cabinet door,0.311,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",above,0.87,80.0,92.0,"{""above"": null, ""below"": 51, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.3792, 'stove': 0.2817, 'oven': 0.262, 'electronic kettle': 0.3322, 'toaster': 0.314, 'sink': 0.111, 'dish rack': 0.335, 'microwave': 0.1852}","{'coffee machine': 167.57, 'stove': 151.37, 'oven': 152.87, 'electronic kettle': 126.98, 'toaster': 126.54, 'sink': 62.5, 'dish rack': 162.82, 'microwave': 69.42}",[],cabinet door,{},Container 16: cabinet door above the countertop
58,17,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[818, 124], [777, 152], [778, 182], [820, 159]]",cabinet door,0.316,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",above,1.349,58.0,43.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": 54, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.6825, 'stove': 0.5921, 'oven': 0.5723, 'electronic kettle': 0.6285, 'toaster': 0.6101, 'sink': 0.3322, 'dish rack': 0.642, 'microwave': 0.3838}","{'coffee machine': 160.15, 'stove': 151.21, 'oven': 151.89, 'electronic kettle': 138.61, 'toaster': 138.73, 'sink': 131.55, 'dish rack': 157.17, 'microwave': 122.55}",[],cabinet door,{},Container 17: cabinet door above the countertop
59,18,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[229, 547], [184, 573], [188, 665], [209, 665], [233, 637]]",drawer,0.324,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,2.408,118.0,49.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": ""sink"", ""below"": ""electronic kettle"", ""left"": null, ""right"": ""toaster"", ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.2156, 'stove': 0.1041, 'oven': 0.1166, 'electronic kettle': 0.0357, 'toaster': 0.0363, 'sink': 0.3028, 'dish rack': 0.1696, 'microwave': 0.2907}","{'coffee machine': 225.41, 'stove': 254.19, 'oven': 262.99, 'electronic kettle': 57.79, 'toaster': 28.21, 'sink': 333.17, 'dish rack': 233.39, 'microwave': 347.73}",[],drawer,"{'electronic kettle': 1, 'toaster': 1}","Container 18: drawer below the countertop, located below the sink, above the electronic kettle, and to the left of the toaster."
60,19,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[568, 427], [575, 436], [583, 432], [588, 435], [592, 456], [618, 457], [618, 427]]",cabinet door,0.312,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,0.6,30.0,50.0,"{""above"": 66, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.4701, 'stove': 0.3505, 'oven': 0.3346, 'electronic kettle': 0.3491, 'toaster': 0.3313, 'sink': 0.05, 'dish rack': 0.4201, 'microwave': 0.0937}","{'coffee machine': 180.58, 'stove': 172.03, 'oven': 174.33, 'electronic kettle': 149.15, 'toaster': 149.95, 'sink': 165.99, 'dish rack': 178.28, 'microwave': 111.75}",[],cabinet door,"{'sink': 1, 'microwave': 1}",Container 19: cabinet door below the countertop
61,20,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[2, 0], [0, 56], [29, 21], [30, 55], [50, 77], [35, 95], [74, 114], [76, 36]]",drawer,0.388,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",above,1.5,114.0,76.0,"{""above"": null, ""below"": 46, ""left"": null, ""right"": 43, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.313, 'stove': 0.3837, 'oven': 0.3735, 'electronic kettle': 0.5224, 'toaster': 0.5141, 'sink': 0.5285, 'dish rack': 0.3328, 'microwave': 0.5881}","{'coffee machine': 91.57, 'stove': 72.66, 'oven': 69.87, 'electronic kettle': 71.95, 'toaster': 70.14, 'sink': 38.61, 'dish rack': 82.82, 'microwave': 43.47}",[],drawer,{},Container 20: drawer above the countertop
62,21,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[349, 417], [327, 428], [329, 464], [351, 451]]",cabinet door,0.374,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,1.958,47.0,24.0,"{""above"": null, ""below"": null, ""left"": 65, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.2599, 'stove': 0.1448, 'oven': 0.1268, 'electronic kettle': 0.199, 'toaster': 0.1816, 'sink': 0.1621, 'dish rack': 0.21, 'microwave': 0.1954}","{'coffee machine': 181.31, 'stove': 160.89, 'oven': 165.43, 'electronic kettle': 116.7, 'toaster': 114.92, 'sink': 3.86, 'dish rack': 176.89, 'microwave': 26.05}",[],cabinet door,{},Container 21: cabinet door below the countertop
63,22,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[168, 100], [166, 136], [176, 146], [167, 149], [166, 160], [216, 184], [216, 131]]",cabinet door,0.314,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",above,1.68,84.0,50.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": 43, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.2731, 'stove': 0.294, 'oven': 0.2785, 'electronic kettle': 0.4263, 'toaster': 0.4147, 'sink': 0.3894, 'dish rack': 0.2698, 'microwave': 0.4517}","{'coffee machine': 118.27, 'stove': 91.24, 'oven': 88.4, 'electronic kettle': 84.47, 'toaster': 82.52, 'sink': 41.38, 'dish rack': 107.06, 'microwave': 47.36}",[],cabinet door,{},Container 22: cabinet door above the countertop
64,23,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[876, 576], [876, 665], [944, 666], [928, 643], [944, 640], [944, 618]]",drawer,0.413,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,1.324,90.0,68.0,"{""above"": 56, ""below"": null, ""left"": 42, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.7608, 'stove': 0.6296, 'oven': 0.6188, 'electronic kettle': 0.5719, 'toaster': 0.5588, 'sink': 0.3543, 'dish rack': 0.7081, 'microwave': 0.316}","{'coffee machine': 192.75, 'stove': 190.48, 'oven': 192.13, 'electronic kettle': 178.41, 'toaster': 179.72, 'sink': 205.23, 'dish rack': 192.28, 'microwave': 193.94}",[],drawer,{},Container 23: drawer below the countertop
65,24,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[324, 431], [300, 443], [296, 454], [300, 469], [326, 455]]",drawer,0.357,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,1.267,38.0,30.0,"{""above"": null, ""below"": 45, ""left"": null, ""right"": 62, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.2355, 'stove': 0.1186, 'oven': 0.1006, 'electronic kettle': 0.1811, 'toaster': 0.1644, 'sink': 0.1865, 'dish rack': 0.1849, 'microwave': 0.2147}","{'coffee machine': 183.56, 'stove': 160.92, 'oven': 166.65, 'electronic kettle': 110.91, 'toaster': 108.34, 'sink': 0.7, 'dish rack': 179.15, 'microwave': 21.06}",[],drawer,{},Container 24: drawer below the countertop
66,25,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[534, 406], [567, 424], [619, 423], [619, 407]]",cabinet door,0.32,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,0.212,18.0,85.0,"{""above"": null, ""below"": 60, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": ""sink"", ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.4645, 'stove': 0.348, 'oven': 0.3314, 'electronic kettle': 0.3547, 'toaster': 0.3367, 'sink': 0.0532, 'dish rack': 0.4153, 'microwave': 0.1105}","{'coffee machine': 178.17, 'stove': 168.7, 'oven': 170.85, 'electronic kettle': 145.95, 'toaster': 146.57, 'sink': 143.42, 'dish rack': 175.55, 'microwave': 105.17}",[],cabinet door,"{'sink': 2, 'microwave': 2}","Container 25: cabinet door below the countertop, located below the sink."
67,26,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[303, 475], [289, 485], [297, 495], [286, 509], [290, 582], [305, 565]]",cabinet door,0.302,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",below,5.632,107.0,19.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": 45, ""top_left"": null, ""top_right"": 65, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": ""oven"", ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": ""sink"", ""bottom_right"": null}","{'coffee machine': 0.2343, 'stove': 0.1018, 'oven': 0.0924, 'electronic kettle': 0.1243, 'toaster': 0.1071, 'sink': 0.2056, 'dish rack': 0.1812, 'microwave': 0.2131}","{'coffee machine': 197.71, 'stove': 190.12, 'oven': 201.21, 'electronic kettle': 115.15, 'toaster': 111.88, 'sink': 344.66, 'dish rack': 197.3, 'microwave': 5.52}",[],cabinet door,"{'stove': 2, 'oven': 2, 'toaster': 2}","Container 26: cabinet door below the countertop, located to the right of the oven, and at the top-right of the sink."
68,27,images/kitchen/27_segmented_sun_alpduwskzkgbcfui.jpg,"[[316, 231], [314, 280], [325, 286], [326, 240]]",cabinet door,0.336,"[[0, 397], [1000, 397], [1000, 667], [0, 667]]",above,4.583,55.0,12.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'coffee machine': 0.2837, 'stove': 0.232, 'oven': 0.2114, 'electronic kettle': 0.3364, 'toaster': 0.3209, 'sink': 0.2397, 'dish rack': 0.2526, 'microwave': 0.3038}","{'coffee machine': 149.41, 'stove': 121.51, 'oven': 120.44, 'electronic kettle': 102.68, 'toaster': 100.95, 'sink': 42.29, 'dish rack': 140.18, 'microwave': 51.02}",[],cabinet door,{},Container 27: cabinet door above the countertop
198,1,images/kitchen/12_segmented_sun_afwaivvfezladsbj.jpg,"[[368, 553], [245, 583], [248, 745], [373, 716]]",cabinet door,0.327,"[[0, 478], [1280, 478], [1280, 960], [0, 960]]",below,1.5,192.0,128.0,"{""above"": 209, ""below"": null, ""left"": 207, ""right"": 204, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'dish': 0.5347, 'coffee machine': 0.4959, 'oven': 0.5356, 'sink': 0.5615}","{'dish': 355.86, 'coffee machine': 353.32, 'oven': 350.77, 'sink': 345.58}",[],cabinet door,{},Container 1: cabinet door below the countertop
