id,short_id,image_path_html,polygon,label,score,countertop_polygon,above_or_below_countertop,height_width_ratio,container_height,container_width,neighbors,anchor_neighbors,distance_from_anchors,angle_from_anchors,similar_neighbors,updated_label
11,11,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[914, 161], [817, 169], [809, 320], [917, 320]]",cabinet door,0.371,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",above,1.472,159.0,108.0,"{""above"": null, ""below"": null, ""left"": 8, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": ""refrigerator""}","{'stove': 0.4677, 'oven': 0.4775, 'refrigerator': 0.1943, 'sink': 0.1769}","{'stove': 163.46, 'oven': 151.8, 'refrigerator': 55.35, 'sink': 117.84}",[],cabinet door
12,12,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[1023, 0], [985, 0], [958, 24], [966, 187], [1023, 161]]",drawer,0.418,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",above,2.877,187.0,65.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.6138, 'oven': 0.6369, 'refrigerator': 0.2965, 'sink': 0.3468}","{'stove': 153.93, 'oven': 145.34, 'refrigerator': 88.55, 'sink': 122.35}",[],drawer
13,13,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[906, 454], [907, 485], [962, 512], [962, 473]]",cabinet door,0.336,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",below,1.036,58.0,56.0,"{""above"": null, ""below"": 9, ""left"": 5, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": ""refrigerator"", ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.5088, 'oven': 0.4788, 'refrigerator': 0.0634, 'sink': 0.1444}","{'stove': 186.84, 'oven': 176.18, 'refrigerator': 327.68, 'sink': 195.0}",[],cabinet door
14,14,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[822, 130], [672, 142], [684, 285], [811, 282]]",cabinet door,0.319,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",above,1.033,155.0,150.0,"{""above"": null, ""below"": null, ""left"": 4, ""right"": 8, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.3877, 'oven': 0.412, 'refrigerator': 0.2775, 'sink': 0.1834}","{'stove': 155.67, 'oven': 142.25, 'refrigerator': 42.21, 'sink': 86.1}",[],cabinet door
15,15,images/kitchen/15_segmented_sun_afxjcqelwocpxiyf.jpg,"[[673, 177], [590, 183], [591, 319], [678, 319]]",cabinet door,0.302,"[[0, 384], [1024, 384], [1024, 683], [0, 683]]",above,1.614,142.0,88.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": 4, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'stove': 0.29, 'oven': 0.3204, 'refrigerator': 0.3358, 'sink': 0.1838}","{'stove': 153.92, 'oven': 136.64, 'refrigerator': 27.32, 'sink': 55.06}",[],cabinet door
16,1,images/kitchen/2_segmented_sun_aweljlnoktycguee.jpg,"[[327, 38], [308, 43], [312, 139], [328, 138]]",cabinet door,0.327,"[[0, 196], [494, 196], [494, 512], [0, 512]]",above,5.05,101.0,20.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],cabinet door
17,2,images/kitchen/2_segmented_sun_aweljlnoktycguee.jpg,"[[277, 201], [277, 218], [295, 221], [296, 205], [290, 202]]",drawer,0.305,"[[0, 196], [494, 196], [494, 512], [0, 512]]",below,1.053,20.0,19.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],drawer
18,1,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[733, 95], [694, 111], [694, 235], [737, 233]]",cabinet door,0.451,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,3.256,140.0,43.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": 22, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'refrigerator': 0.5347, 'dishwasher': 0.1899, 'microwave': 0.3168, 'toaster': 0.4732, 'electronic kettle': 0.1453, 'oven': 0.5929, 'coffee machine': 0.1511, 'dish': 0.1493, 'sink': 0.1805}","{'refrigerator': 166.11, 'dishwasher': 110.45, 'microwave': 171.61, 'toaster': 169.73, 'electronic kettle': 60.61, 'oven': 168.59, 'coffee machine': 140.75, 'dish': 143.28, 'sink': 152.24}",[],cabinet door
19,2,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[478, 158], [476, 229], [506, 231], [508, 159]]",cabinet door,0.485,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,2.281,73.0,32.0,"{""above"": null, ""below"": null, ""left"": 28, ""right"": 40, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'refrigerator': 0.3127, 'dishwasher': 0.2188, 'microwave': 0.092, 'toaster': 0.2489, 'electronic kettle': 0.3117, 'oven': 0.369, 'coffee machine': 0.1275, 'dish': 0.1218, 'sink': 0.0865}","{'refrigerator': 160.86, 'dishwasher': 44.02, 'microwave': 167.22, 'toaster': 166.41, 'electronic kettle': 18.85, 'oven': 165.65, 'coffee machine': 33.15, 'dish': 31.33, 'sink': 42.29}",[],cabinet door
20,3,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[578, 157], [548, 159], [548, 231], [580, 229]]",cabinet door,0.472,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,2.312,74.0,32.0,"{""above"": null, ""below"": null, ""left"": 40, ""right"": 27, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": ""sink"", ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": ""sink""}","{'refrigerator': 0.3814, 'dishwasher': 0.1747, 'microwave': 0.1629, 'toaster': 0.3192, 'electronic kettle': 0.2449, 'oven': 0.4391, 'coffee machine': 0.0781, 'dish': 0.0713, 'sink': 0.059}","{'refrigerator': 164.37, 'dishwasher': 60.71, 'microwave': 172.73, 'toaster': 169.4, 'electronic kettle': 24.34, 'oven': 167.95, 'coffee machine': 63.53, 'dish': 63.16, 'sink': 97.72}",[],cabinet door
21,4,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[332, 160], [331, 230], [361, 232], [362, 160]]",cabinet door,0.487,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,2.323,72.0,31.0,"{""above"": null, ""below"": null, ""left"": 32, ""right"": 25, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": ""microwave"", ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'refrigerator': 0.1802, 'dishwasher': 0.339, 'microwave': 0.0597, 'toaster': 0.1114, 'electronic kettle': 0.4523, 'oven': 0.2297, 'coffee machine': 0.2621, 'dish': 0.2579, 'sink': 0.2178}","{'refrigerator': 145.82, 'dishwasher': 26.41, 'microwave': 18.66, 'toaster': 149.11, 'electronic kettle': 12.7, 'oven': 156.88, 'coffee machine': 15.14, 'dish': 13.93, 'sink': 15.15}",[],cabinet door
22,5,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[799, 69], [738, 95], [740, 236], [799, 239]]",cabinet door,0.443,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,2.787,170.0,61.0,"{""above"": null, ""below"": null, ""left"": 18, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": ""electronic kettle"", ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'refrigerator': 0.5901, 'dishwasher': 0.2226, 'microwave': 0.3723, 'toaster': 0.5287, 'electronic kettle': 0.1364, 'oven': 0.6484, 'coffee machine': 0.201, 'dish': 0.2001, 'sink': 0.2338}","{'refrigerator': 166.56, 'dishwasher': 122.97, 'microwave': 171.5, 'toaster': 169.85, 'electronic kettle': 83.06, 'oven': 168.78, 'coffee machine': 148.72, 'dish': 150.67, 'sink': 156.59}",[],cabinet door
23,6,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[527, 273], [527, 332], [564, 333], [565, 275]]",cabinet door,0.317,"[[0, 266], [800, 266], [800, 591], [0, 591]]",below,1.579,60.0,38.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": ""sink"", ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'refrigerator': 0.3495, 'dishwasher': 0.1117, 'microwave': 0.1692, 'toaster': 0.3003, 'electronic kettle': 0.2411, 'oven': 0.412, 'coffee machine': 0.0661, 'dish': 0.0681, 'sink': 0.0524}","{'refrigerator': 181.16, 'dishwasher': 22.35, 'microwave': 211.82, 'toaster': 189.8, 'electronic kettle': 357.89, 'oven': 182.52, 'coffee machine': 322.86, 'dish': 317.24, 'sink': 280.93}",[],cabinet door
24,7,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[259, 161], [231, 163], [233, 232], [261, 229]]",cabinet door,0.457,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,2.367,71.0,30.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": 34, ""top_left"": 35, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": ""toaster"", ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'refrigerator': 0.1114, 'dishwasher': 0.4316, 'microwave': 0.1587, 'toaster': 0.0567, 'electronic kettle': 0.5512, 'oven': 0.1419, 'coffee machine': 0.3605, 'dish': 0.3567, 'sink': 0.3163}","{'refrigerator': 115.56, 'dishwasher': 20.35, 'microwave': 6.64, 'toaster': 84.51, 'electronic kettle': 10.31, 'oven': 140.94, 'coffee machine': 10.82, 'dish': 9.9, 'sink': 10.23}",[],cabinet door
25,8,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[401, 159], [367, 160], [368, 197], [402, 196]]",cabinet door,0.48,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,1.086,38.0,35.0,"{""above"": null, ""below"": null, ""left"": 21, ""right"": 26, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": ""microwave"", ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'refrigerator': 0.2218, 'dishwasher': 0.3143, 'microwave': 0.041, 'toaster': 0.1533, 'electronic kettle': 0.4197, 'oven': 0.2717, 'coffee machine': 0.2314, 'dish': 0.2266, 'sink': 0.1875}","{'refrigerator': 147.61, 'dishwasher': 32.39, 'microwave': 63.43, 'toaster': 150.8, 'electronic kettle': 16.19, 'oven': 156.63, 'coffee machine': 21.83, 'dish': 20.59, 'sink': 23.42}",[],cabinet door
26,9,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[404, 159], [404, 197], [437, 197], [438, 159]]",cabinet door,0.478,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,1.118,38.0,34.0,"{""above"": null, ""below"": null, ""left"": 25, ""right"": 28, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": ""microwave"", ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'refrigerator': 0.2534, 'dishwasher': 0.2842, 'microwave': 0.0409, 'toaster': 0.186, 'electronic kettle': 0.3848, 'oven': 0.3055, 'coffee machine': 0.198, 'dish': 0.1929, 'sink': 0.1547}","{'refrigerator': 152.03, 'dishwasher': 36.33, 'microwave': 116.25, 'toaster': 156.28, 'electronic kettle': 17.7, 'oven': 159.34, 'coffee machine': 25.75, 'dish': 24.39, 'sink': 28.79}",[],cabinet door
27,10,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[600, 149], [585, 155], [589, 232], [599, 231]]",cabinet door,0.407,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,5.533,83.0,15.0,"{""above"": null, ""below"": null, ""left"": 20, ""right"": 30, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": ""dish"", ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": ""sink"", ""bottom_right"": ""sink""}","{'refrigerator': 0.4108, 'dishwasher': 0.1643, 'microwave': 0.1929, 'toaster': 0.3491, 'electronic kettle': 0.219, 'oven': 0.4688, 'coffee machine': 0.0724, 'dish': 0.0659, 'sink': 0.0715}","{'refrigerator': 165.19, 'dishwasher': 70.23, 'microwave': 173.19, 'toaster': 169.94, 'electronic kettle': 28.11, 'oven': 168.44, 'coffee machine': 86.1, 'dish': 88.03, 'sink': 121.93}",[],cabinet door
28,11,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[444, 158], [442, 230], [474, 231], [474, 159]]",cabinet door,0.49,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,2.281,73.0,32.0,"{""above"": null, ""below"": null, ""left"": 26, ""right"": 19, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": ""microwave"", ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'refrigerator': 0.281, 'dishwasher': 0.244, 'microwave': 0.0595, 'toaster': 0.2162, 'electronic kettle': 0.3437, 'oven': 0.3364, 'coffee machine': 0.1566, 'dish': 0.1515, 'sink': 0.1135}","{'refrigerator': 158.66, 'dishwasher': 38.48, 'microwave': 160.26, 'toaster': 164.38, 'electronic kettle': 16.99, 'oven': 164.27, 'coffee machine': 26.32, 'dish': 24.61, 'sink': 30.68}",[],cabinet door
29,12,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[111, 103], [119, 186], [139, 191], [140, 115]]",cabinet door,0.327,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,3.034,88.0,29.0,"{""above"": 38, ""below"": null, ""left"": null, ""right"": 33, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'refrigerator': 0.1645, 'dishwasher': 0.5602, 'microwave': 0.2848, 'toaster': 0.1626, 'electronic kettle': 0.6777, 'oven': 0.1375, 'coffee machine': 0.4873, 'dish': 0.4833, 'sink': 0.4431}","{'refrigerator': 64.3, 'dishwasher': 20.68, 'microwave': 13.42, 'toaster': 39.86, 'electronic kettle': 12.48, 'oven': 86.16, 'coffee machine': 13.7, 'dish': 13.05, 'sink': 13.57}",[],cabinet door
30,13,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[624, 149], [616, 156], [602, 154], [602, 233], [630, 229], [633, 179]]",cabinet door,0.398,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,2.71,84.0,31.0,"{""above"": null, ""below"": null, ""left"": 27, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": ""sink"", ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": ""dish"", ""bottom_right"": null}","{'refrigerator': 0.4369, 'dishwasher': 0.1659, 'microwave': 0.2185, 'toaster': 0.3749, 'electronic kettle': 0.2021, 'oven': 0.4948, 'coffee machine': 0.0831, 'dish': 0.0776, 'sink': 0.0932}","{'refrigerator': 164.95, 'dishwasher': 79.29, 'microwave': 171.75, 'toaster': 169.33, 'electronic kettle': 33.54, 'oven': 168.05, 'coffee machine': 103.79, 'dish': 106.81, 'sink': 132.12}",[],cabinet door
31,14,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[173, 127], [171, 180], [199, 184], [199, 141]]",cabinet door,0.395,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,2.036,57.0,28.0,"{""above"": null, ""below"": null, ""left"": 33, ""right"": 35, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'refrigerator': 0.1395, 'dishwasher': 0.5022, 'microwave': 0.2257, 'toaster': 0.1157, 'electronic kettle': 0.6185, 'oven': 0.1371, 'coffee machine': 0.4282, 'dish': 0.4241, 'sink': 0.384}","{'refrigerator': 84.75, 'dishwasher': 22.05, 'microwave': 14.58, 'toaster': 55.08, 'electronic kettle': 12.81, 'oven': 111.11, 'coffee machine': 14.35, 'dish': 13.61, 'sink': 14.27}",[],cabinet door
32,15,images/kitchen/24_segmented_sun_amvbtnpxujkswvfn.jpg,"[[299, 160], [299, 230], [328, 231], [328, 161]]",cabinet door,0.488,"[[0, 266], [800, 266], [800, 591], [0, 591]]",above,2.448,71.0,29.0,"{""above"": null, ""below"": null, ""left"": 34, ""right"": 21, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'refrigerator': 0.1539, 'dishwasher': 0.369, 'microwave': 0.0917, 'toaster': 0.0847, 'electronic kettle': 0.4848, 'oven': 0.1996, 'coffee machine': 0.2943, 'dish': 0.2902, 'sink': 0.25}","{'refrigerator': 138.87, 'dishwasher': 24.12, 'microwave': 12.02, 'toaster': 137.5, 'electronic kettle': 11.84, 'oven': 153.14, 'coffee machine': 13.45, 'dish': 12.35, 'sink': 13.16}",[],cabinet door
